Namesake,Original,Namesake Coordinates,Original Coordinates
"Loucky, Nebraska","Horní Loučky, Czech Republic",,"(49.3668061, 16.3413943)"
"Hostyn, Texas","Hostýn, Czech Republic","(29.8457833, -96.9197037)","(49.3800891, 17.7017292)"
"New Hradec, North Dakota","Hradec Králové, Czech Republic","(46.9994563, -102.8843482)","(50.2092113, 15.8327512)"
"Karlin, Michigan","Karlín, Czech Republic","(44.578335, -85.78341)","(50.0948809, 14.4600975)"
"Karlin, Missouri","Karlín, Czech Republic","(37.5542072, -93.4140858)","(50.0948809, 14.4600975)"
"Carlsbad, New Mexico Carlsbad, California","Karlovy Vary (German: Karlsbad), Czech Republic","(32.3935556, -104.2359249)",
"Kolin, Louisiana","Kolín, Czech Republic","(31.2832391, -92.322633)","(50.0288894, 15.2011571)"
"Malin, Oregon","Malín (part of Kutná Hora), Czech Republic","(42.012513, -121.4083619)",
"Lidice, Illinois","Lidice, Czech Republic","(41.554753, -88.0903373)","(50.1435834, 14.1905224)"
"Lititz, Pennsylvania","Litice Castle, Czech Republic","(40.1571252, -76.3072103)","(50.0858504, 16.35146680803699)"
"Melnik, Wisconsin","Mělník, Czech Republic","(44.2474993, -87.745917)","(50.3520785, 14.4748281)"
"Nechanitz, Texas","Nechanice, Czech Republic","(30.0457762, -96.8269236)","(50.2373686, 15.6327598)"
"Olmitz, Kansas","Olomouc (German: Olmütz), Czech Republic","(38.516679, -98.9364797)",
"Patzau, Wisconsin","Pacov (German: Patzau), Czech Republic","(46.4913301, -92.2207502)",
"Pisek, North Dakota","Písek, Czech Republic","(48.3108259, -97.7092537)","(49.3089887, 14.147769)"
"Pilsen, Kansas","Plzeň (German: Pilsen), Czech Republic","(38.4714024, -97.0402972)",
"New Prague, Minnesota","Prague, Czech Republic","(44.5433331, -93.5760445)","(50.0874654, 14.4212535)"
"Prague, Oklahoma","Prague, Czech Republic","(35.4867369, -96.6850174)","(50.0874654, 14.4212535)"
"Protivin, Iowa","Protivín, Czech Republic","(43.2156858, -92.0910401)","(49.2000186, 14.2159645)"
"Roznov, Texas","Rožnov pod Radhoštěm, Czech Republic","(29.9843897, -96.7083095)","(49.4587958, 18.1429843)"
"Rostok, Wisconsin","Roztoky, Czech Republic","(44.501666, -87.501474)","(50.1608299, 14.3824148)"
"Austerlitz, New York","Slavkov u Brna (German: Austerlitz), Czech Republic","(42.3126595, -73.4733837)",
"Tabor Township, Minnesota","Tábor, Czech Republic",,"(49.4141533, 14.6587234)"
"Veseli, Minnesota","Veselí nad Lužnicí, Czech Republic","(44.5149633, -93.4599494)","(49.1868515, 14.6989831)"
"Vodnany, South Dakota","Vodňany, Czech Republic","(43.133164, -97.881285)","(49.1478708, 14.1754647)"
"Vsetin, Texas","Vsetín, Czech Republic","(29.4944069, -96.8497013)","(49.3389775, 17.9961534)"
"Copenhagen, New York","Copenhagen, Denmark","(43.893439, -75.673828)","(55.6867243, 12.5700724)"
"Elsinore, Utah","Helsingør, Denmark","(38.6830837, -112.148274)","(56.0348739, 12.6130073)"
"Nysted, Nebraska","Nysted, Denmark","(41.1344566, -98.6145177)","(54.6627868, 11.7330766)"
"Odense, Kansas","Odense, Denmark","(37.7031007, -95.2519248)","(55.3997225, 10.3852104)"
"Ringsted, Iowa","Ringsted, Denmark","(43.2957702, -94.5089039)","(55.446817, 11.7975218)"
"Torning Township, Minnesota","Torning, Denmark",,"(55.3615136, 9.5092372)"
"Viborg, South Dakota","Viborg, Denmark","(43.170266, -97.081441)","(56.4469128, 9.4059354)"
"Quito, Tennessee","Quito, Ecuador","(35.4131397, -89.9345312)","(-0.2201641, -78.5123274)"
"Cairo, Illinois","Cairo, Egypt","(37.0057958, -89.1772449)","(30.0443879, 31.2357257)"
"Cairo, West Virginia","Cairo, Egypt","(39.2088298, -81.1568523)","(30.0443879, 31.2357257)"
"Cairo, Ohio","Cairo, Egypt","(40.8319737, -84.0818775)","(30.0443879, 31.2357257)"
"Cairo, Georgia","Cairo, Egypt","(30.8773326, -84.2079425)","(30.0443879, 31.2357257)"
"Cairo, New York","Cairo, Egypt","(42.2989749, -73.9984659)","(30.0443879, 31.2357257)"
"Alexandria, Virginia","Alexandria, Egypt","(38.8051095, -77.0470229)","(31.1991806, 29.8951716)"
"Alexandria, Minnesota","Alexandria, Egypt","(45.8835101, -95.3745015)","(31.1991806, 29.8951716)"
"Alexandria, Louisiana","Alexandria, Egypt","(31.2909782, -92.4616292)","(31.1991806, 29.8951716)"
"Alexandria, New York","Alexandria, Egypt","(44.3410432, -75.8987846)","(31.1991806, 29.8951716)"
"Luxor, Pennsylvania","Luxor, Egypt","(40.3342354, -79.4780947)","(25.702096, 32.647186)"
"Memphis, Tennessee","Memphis, Egypt","(35.1460249, -90.0517638)","(29.8544582, 31.26151876961478)"
"Memphis, Florida","Memphis, Egypt","(27.523935, -82.56314462713833)","(29.8544582, 31.26151876961478)"
"Memphis, Missouri","Memphis, Egypt","(40.4578119, -92.1712924)","(29.8544582, 31.26151876961478)"
"Memphis, Texas","Memphis, Egypt","(34.7253581, -100.540097)","(29.8544582, 31.26151876961478)"
"Memphis, Michigan","Memphis, Egypt","(42.8964179, -82.7688135)","(29.8544582, 31.26151876961478)"
"Memphis, New York","Memphis, Egypt","(43.0828444, -76.3771554)","(29.8544582, 31.26151876961478)"
"Memphis, Indiana","Memphis, Egypt","(38.487836, -85.76200825998134)","(29.8544582, 31.26151876961478)"
"Suez Township, Illinois","Suez, Egypt",,"(29.974498, 32.537086)"
"Finland, Minnesota","Finland, Finland","(47.4146362, -91.2490485)","(63.2467777, 25.9209164)"
