Namesake,Original,Namesake Coordinates,Original Coordinates
"Valencia, New Mexico","Valencia, Spain","(34.7325886, -106.8503919)","(39.4697065, -0.3763353)"
"Valencia, Pennsylvania","Valencia, Spain","(40.674863, -79.988494)","(39.4697065, -0.3763353)"
"Valencia West, Arizona","Valencia, Spain","(32.135411000000005, -111.13181086946975)","(39.4697065, -0.3763353)"
"Valencia, California","Valencia, Spain","(34.4131941, -118.5598491)","(39.4697065, -0.3763353)"
"Saragossa, Alabama","Zaragoza, Spain","(33.8989962, -87.3991764)","(41.6521342, -0.8809428)"
"Dongola, Illinois","Dongola, Sudan","(37.3611615, -89.1659117)","(19.1728506, 30.4731589)"
"Khartoum, California","Khartoum, Sudan","(37.2857892, -121.9438472)","(15.5635972, 32.5349123)"
"Halfa, Iowa","Wadi Halfa, Sudan","(43.3519039, -94.5419215)","(21.8005, 31.350737)"
"Alsen, South Dakota","Alsen, Sweden","(42.961104, -96.8055984)","(63.3864609, 13.9286711)"
"Arboga, California","Arboga, Sweden","(39.0512823, -121.555796)","(59.394187, 15.8396643)"
"Borgholm Township, Minnesota","Borgholm, Sweden","(45.754283150000006, -93.63192951642806)","(56.883056, 16.666667)"
"Boxholm, Iowa","Boxholm, Sweden","(42.1757135, -94.106)","(58.166667, 15.0)"
"Dannemora, New York","Dannemora, Sweden","(44.721613, -73.723755)","(60.2032735, 17.8599065)"
"Falun Township, Minnesota","Falun, Sweden",,"(60.6070068, 15.6323059)"
"Forsby, North Dakota","Forsby, Sweden",,"(60.7129567, 17.1467646)"
"Gothenburg, Nebraska","Gothenburg, Sweden","(40.9277324, -100.1619896)","(57.7072326, 11.9670171)"
"Galva, Illinois","Gävle, Sweden","(41.1660682, -90.0455662)","(60.6750132, 17.1467019)"
"Calmar, Iowa","Kalmar, Sweden","(43.1828024, -91.86481)","(56.6628826, 16.3662382)"
"Karlstad, Minnesota","Karlstad, Sweden","(48.5775203, -96.5189577)","(59.3809146, 13.5027631)"
"Carlsborg, Washington","Karlsborg, Sweden","(48.0904896, -123.170933)","(58.583333, 14.5)"
"Linsell Township, Minnesota","Linsell, Sweden",,"(62.1568022, 13.8868829)"
"Lund, Wisconsin","Lund, Sweden","(44.5396896, -92.2060094)","(55.7029296, 13.1929449)"
"Malmo, Nebraska","Malmö, Sweden","(41.2661152, -96.7222503)","(55.6052931, 13.0001566)"
"Malung Township, Minnesota","Malung, Sweden",,"(60.6864461, 13.7145867)"
"Mora, Minnesota","Mora, Sweden","(45.8769031, -93.2938352)","(60.95, 14.416667)"
"Nora, Indianapolis, Indiana","Nora, Sweden","(39.912517, -86.1363353)","(59.533333, 15.016667)"
"Ronneby, Minnesota","Ronneby, Sweden","(45.6242633, -93.8587793)","(56.3, 15.283333)"
"Skanee, Michigan","Skåne, Sweden","(46.873261, -88.214014)","(55.8479416, 13.633711699754647)"
"Stockholm, New York","Stockholm, Sweden","(44.7507485, -74.8502288)","(59.3251172, 18.0710935)"
"Taberg, New York","Taberg, Sweden","(43.3036805, -75.616848)","(57.6789477, 14.0918656)"
"Upsala, Minnesota","Uppsala, Sweden","(45.8107986, -94.5713974)","(59.8586126, 17.6387436)"
"Elsinboro Township, New Jersey","Älvsborg fortress, Sweden","(39.53522575, -75.49797015075177)","(57.6854256, 11.8385472)"
"Sweden, Maine","Sweden, Sweden","(44.133435, -70.822678)","(59.6749712, 14.5208584)"
"Altorf, Illinois","Altdorf, Switzerland","(41.1903098, -87.9622693)","(46.8820732, 8.6413922)"
"Berne, Indiana","Bern, Switzerland","(40.6578242, -84.9519115)","(46.9484742, 7.4521749)"
"New Bern, North Carolina","Bern, Switzerland","(35.1084931, -77.0441143)","(46.9484742, 7.4521749)"
"Geneva, Idaho","Geneva, Switzerland","(42.3585413, -111.0651941)","(46.2017559, 6.1466014)"
"Geneva, New York","Geneva, Switzerland","(42.8690271, -76.9786122)","(46.2017559, 6.1466014)"
"Geneva, Pennsylvania","Geneva, Switzerland","(41.562554, -80.2250621)","(46.2017559, 6.1466014)"
"New Glarus, Wisconsin","Glarus, Switzerland","(42.8144683, -89.6339362)","(46.9796562, 9.108812)"
"Hallam, Nebraska","Hallau, Switzerland","(40.53778, -96.787246)","(47.6965281, 8.4578613)"
"Interlaken, California","Interlaken, Switzerland","(36.9529645, -121.730762)","(46.6855231, 7.8585139)"
"Kloten, Wisconsin","Kloten, Switzerland","(44.0352681, -88.2659376)","(47.4525133, 8.5861477)"
"Langnau, Kentucky","Langnau im Emmental, Switzerland","(37.1798117, -83.9668725)","(46.9392339, 7.7882673)"
"Lausanne Township, Pennsylvania","Lausanne, Switzerland","(40.96840435, -75.81970433066465)","(46.5218269, 6.6327025)"
"Lenzburg, Illinois","Lenzburg, Switzerland","(38.287271, -89.8173229)","(47.3873136, 8.1821873)"
"Lucerne, Indiana","Lucerne, Switzerland","(40.8664295, -86.4033351)","(47.0505452, 8.3054682)"
"Mayfield, Wisconsin","Maienfeld, Switzerland","(43.3291694, -88.1967604)","(47.0077288, 9.5309225)"
"Maria Stein, Ohio","Metzerlen-Mariastein, Switzerland","(40.4078249, -84.4932862)","(47.476261, 7.4900151)"
"Neuchatel, Kansas","Neuchâtel, Switzerland","(39.568052, -96.201946)","(46.9895828, 6.9292641)"
"Gruetli-Laager, Tennessee","Rütli, Switzerland","(35.372295, -85.6180275)","(47.4816535, 9.4115879)"
"Vevay, Indiana","Vevey, Switzerland","(38.7478401, -85.0671725)","(46.4602978, 6.8418655)"
"Winterthur, Delaware","Winterthur, Switzerland","(39.8028897, -75.5915934)","(47.4991723, 8.7291498)"
"Zurich, Kansas","Zürich, Switzerland","(39.234454, -99.438161)","(47.3744489, 8.5410422)"
"Angora, Minnesota","Ankara, Turkey","(47.77492, -92.634065)","(39.7160439, 32.7059948)"
"Balta, North Dakota","Balta, Ukraine","(48.1666684, -100.0370779)","(47.9363162, 29.6225979)"
"Kief, North Dakota","Kyiv, Ukraine","(47.85817, -100.512629)","(50.4500336, 30.5241361)"
"Odessa, Texas","Odesa, Ukraine","(31.8457149, -102.367687)","(46.4843023, 30.7322878)"
"Odessa, Washington","Odesa, Ukraine","(47.3332023, -118.690827)","(46.4843023, 30.7322878)"
"Selz, North Dakota (Emmons County)","Selz (now Lymanske), Ukraine",,
"Sebastopol, California","Sevastopol, Ukraine","(38.4021038, -122.824222)","(44.5655503, 33.45959860374677)"
"Sebastopol, Michigan","Sevastopol, Ukraine",,"(44.5655503, 33.45959860374677)"
"Sevastopol, Wisconsin","Sevastopol, Ukraine","(44.8933708, -87.30025570456559)","(44.5655503, 33.45959860374677)"
"Strasburg, North Dakota","Straßburg (now Kuchurhan, Rozdilna Raion), Ukraine","(46.133601, -100.161504)",
"Longwood, Missouri","Longwood, Saint Helena, United Kingdom","(38.8991855, -93.1699257)",
"Clements, Maryland","Saint Clement, Jersey, United Kingdom","(38.3262383, -76.7271876)",
"Abingdon, Maryland","Abingdon-on-Thames, Oxfordshire, United Kingdom","(39.4623305, -76.2791236)","(51.6714842, -1.2779715)"
"Acton, Maine","Acton, London, United Kingdom","(43.534612, -70.909882)","(51.5081402, -0.2732607)"
"Alton, New Hampshire","Alton, Hampshire, United Kingdom","(43.452919, -71.218185)","(51.1489036, -0.9757677)"
"Amesbury, Massachusetts","Amesbury, Wiltshire, United Kingdom","(42.8579536, -70.9300921)","(51.17068755, -1.7706128163886845)"
"East Amwell Township, New Jersey","Great and Little Amwell, Hertfordshire, United Kingdom","(40.4432331, -74.814333)",
"Andover, Massachusetts","Andover, Hampshire, United Kingdom","(42.65717, -71.1408776)","(51.2078275, -1.479355)"
"Ashburnham, Massachusetts","Ashburnham, Sussex, United Kingdom","(42.6357648, -71.9086801)","(50.9085968, 0.3914751)"
"Ashton, South Dakota","Ashton, United Kingdom","(44.994975, -98.497872)","(50.6472418, -3.6111483802082907)"
"Aston Township, Pennsylvania","Aston, Oxfordshire, United Kingdom","(39.87265415, -75.44054729049847)","(51.7248875, -1.5079605)"
"Attleboro, Massachusetts","Attleborough, Norfolk, United Kingdom","(41.9438129, -71.2806515)","(52.5179648, 1.0105931)"
"Barnstable, Massachusetts","Barnstaple, Devon, United Kingdom","(41.7016936, -70.3036163)","(51.0804057, -4.0600467)"
"Barton, Maryland","Barton-upon-Humber, Lincolnshire, United Kingdom","(39.5306463, -79.0175279)","(53.6858065, -0.4395216)"
"Bath, Maine","Bath, Somerset, United Kingdom","(43.9134656, -69.8141706)","(51.3813864, -2.3596963)"
"Battle, Maryland","Battle, East Sussex, United Kingdom","(38.938113, -76.941153)","(50.926500399999995, 0.47571771777808286)"
"Beddington, Maine","Beddington, Surrey, United Kingdom","(44.8481283, -68.0619547)",
"Bedminster, New Jersey","Bedminster, Bristol, United Kingdom","(40.6741476, -74.6809503)","(51.4367393, -2.6042197)"
"Beenham, New Mexico","Beenham, Berkshire, United Kingdom","(36.2144758, -103.6344027)","(51.41332185, -1.144521435766884)"
"Berwick, Maine","Berwick-upon-Tweed, Northumberland, United Kingdom","(43.2725932, -70.867316)","(55.7692442, -2.0026472)"
"Beverly, Massachusetts","Beverley, East Riding of Yorkshire, United Kingdom","(42.5486559, -70.8784256)","(53.8425488, -0.4315677)"
"Bexley, Ohio","Bexley, Kent, United Kingdom","(39.9692378, -82.936864)","(51.3622948, 1.0272579)"
"Biddeford, Maine","Bideford, Devon, United Kingdom","(43.4925843, -70.4533844)","(51.0181448, -4.2064223)"
"Billerica, Massachusetts","Billericay, Essex, United Kingdom","(42.5584264, -71.268947)","(51.6284395, 0.4218142)"
"Birmingham, Alabama","Birmingham, West Midlands, United Kingdom","(33.5206824, -86.8024326)","(52.4796992, -1.9026911)"
"Birmingham, Iowa","Birmingham, West Midlands, United Kingdom","(40.8790701, -91.9484649)","(52.4796992, -1.9026911)"
"Birmingham, Michigan","Birmingham, West Midlands, United Kingdom","(42.5467012, -83.2113192)","(52.4796992, -1.9026911)"
"Birmingham, Missouri","Birmingham, West Midlands, United Kingdom","(39.1649319, -94.4504605)","(52.4796992, -1.9026911)"
"Blenheim, South Carolina","Blenheim Palace, Oxfordshire, United Kingdom","(34.5106093, -79.6528382)","(51.84194475, -1.3626292939206366)"
"Boothbay, Maine","Boothby, Lincolnshire, United Kingdom","(43.8761971, -69.6343354)","(53.1952637, 0.2202531)"
"Boston, Massachusetts","Boston, Lincolnshire, United Kingdom","(42.3554334, -71.060511)","(52.9776561, -0.0237985)"
"Bowdon, North Dakota","Bowdon, Greater Manchester (historically in Cheshire), United Kingdom","(47.469722, -99.707898)",
"Boxford, Massachusetts","Boxford, Suffolk, United Kingdom","(42.6625764, -70.9977456)","(52.029187, 0.8598002)"
"Bradford, Massachusetts","Bradford, West Yorkshire, United Kingdom","(42.7652102, -71.0760878)","(53.7944229, -1.7519186)"
"Braintree, Massachusetts","Braintree, Essex, United Kingdom","(42.2205956, -71.0041229)","(51.8780637, 0.5537161)"
"Brampton, Michigan","Brampton, Carlisle, Cumbria, United Kingdom","(45.9313515, -87.0712502)",
"Branford, Connecticut","Brentford, Greater London, United Kingdom","(41.2795414, -72.8150989)","(51.4863958, -0.3216623)"
"Brentwood, California","Brentwood, Essex, United Kingdom","(37.9317766, -121.696026)","(51.6201654, 0.3018662)"
"Brentwood, New Hampshire","Brentwood, Essex, United Kingdom","(42.9786981, -71.0728369)","(51.6201654, 0.3018662)"
"Bridgwater, Somerset","nan, United Kingdom","(51.1283378, -3.0037046)","(-22.9849865, -43.2073976)"
"Burlington, New Jersey","Bridlington, East Yorkshire, United Kingdom","(39.9325409, -74.7226665)","(54.0871383, -0.1964511)"
"Brighton, Alabama","Brighton, East Sussex, United Kingdom","(33.4342755, -86.9472148)","(50.8214626, -0.1400561)"
"New Brighton, Pennsylvania","Brighton, East Sussex, United Kingdom","(40.7303534, -80.3100513)","(50.8214626, -0.1400561)"
"Brimfield, Massachusetts","Brimfield, Herefordshire, United Kingdom","(42.1224026, -72.2003109)","(52.3073006, -2.6971573)"
"Brinklow, Maryland","Brinklow, Warwickshire, United Kingdom","(39.1659403, -77.015533)","(52.4118112, -1.3632768)"
"Bristol, Tennessee","Bristol, Bristol, United Kingdom","(36.5945034, -82.1885212)","(51.45036305, -2.6005109540315727)"
"Bristol, Indiana","Bristol, Bristol, United Kingdom","(41.7214415, -85.8175361)","(51.45036305, -2.6005109540315727)"
"Bromley, Kentucky","Bromley, Greater London, United Kingdom","(39.0820043, -84.5602215)","(51.36685695, 0.061709076090816765)"
"Broseley, Missouri","Broseley, Shropshire, United Kingdom","(36.6750563, -90.24177)","(52.6133558, -2.4827324)"
"Brunswick, Missouri","Brunswick (Hove), East Sussex, United Kingdom","(39.4233577, -93.1304782)",
"Buckingham, Pennsylvania","Buckingham, Buckinghamshire, United Kingdom","(40.3165463, -75.04691929440477)","(51.9983175, -0.9786725)"
"Bude, Mississippi","Bude, Cornwall, United Kingdom","(31.4629491, -90.8501014)","(50.8285252, -4.5469361)"
"Burton, Illinois","Burton upon Trent, Staffordshire, United Kingdom","(39.9047686, -91.2490326)","(52.802742, -1.629917)"
"Woodbury, New Jersey","Bury, Greater Manchester, United Kingdom","(39.8381691, -75.1526774)","(53.5927543, -2.2972827)"
"Buxton, Maine","Buxton, Norfolk, United Kingdom","(43.638063, -70.51918)","(52.7547251, 1.3067651)"
"Caln Township, Pennsylvania","Calne, Wiltshire, United Kingdom","(40.0014111, -75.76962922944233)","(51.43889085, -2.00109809392265)"
"Cambridge, Massachusetts","Cambridge, Cambridgeshire, United Kingdom","(42.3655767, -71.1040018)","(52.2055314, 0.1186637)"
"Canterbury, Connecticut","Canterbury, Kent, United Kingdom","(41.6984209, -71.9710811)","(51.2800275, 1.0802533)"
"Carlisle, Pennsylvania","Carlisle, Cumbria, United Kingdom","(40.201499, -77.1890783)",
"Chalfont, Pennsylvania","Chalfont St Giles, Buckinghamshire, United Kingdom","(40.29066735, -75.21070232492798)","(51.6321046, -0.5697912)"
"Chatham, Massachusetts","Chatham, Kent, United Kingdom","(41.6820563, -69.9597376)","(51.3729007, 0.5503120576703684)"
"Chatsworth, Illinois","Chatsworth, Derbyshire, United Kingdom","(40.7536464, -88.2919947)","(53.226619, -1.6246106)"
"Chelmsford, Massachusetts","Chelmsford, Essex, United Kingdom","(42.5968617, -71.3517602)","(51.7345329, 0.4730532)"
"Chelsea, Massachusetts","Chelsea, London, United Kingdom","(42.3917638, -71.0328284)","(51.4875167, -0.1687007)"
"Cheltenham, Maryland","Cheltenham, Gloucestershire, United Kingdom","(38.7356711, -76.8263594)","(51.8995685, -2.0711559)"
"Chester, Illinois","Chester, Cheshire, United Kingdom","(37.9136628, -89.8220505)","(53.1908873, -2.8908955)"
"Chesterfield Township, New Jersey","Chesterfield, Derbyshire, United Kingdom","(40.1153966, -74.6412727)","(53.2352134, -1.4264097)"
"Upper Chichester Township, Pennsylvania","Chichester, West Sussex, United Kingdom","(39.84326505, -75.43549516346835)","(50.84467705, -0.7831144316193243)"
"Chillum, Maryland","Chilham/Chilham Castle, United Kingdom","(38.9637218, -76.9908093)","(51.2429872, 0.9601748428684733)"
"Chilmark, Massachusetts","Chilmark, Wiltshire, United Kingdom","(41.343056, -70.7440232)","(51.0934474, -2.0469931)"
"Barnet, Vermont","Chipping Barnet, Greater London, United Kingdom","(44.3100282, -72.1380222)","(51.65309, -0.2002261)"
"Claremont, Virginia","Claremont (country house), Surrey, United Kingdom","(37.2279264, -76.9641321)",
"Clifton, North Dakota","Clifton, Bristol, United Kingdom","(47.891113, -100.0342969)","(51.4615884, -2.6202846)"
"Coalville, Utah","Coalville, Leicestershire, United Kingdom","(40.9177251, -111.3993634)","(52.7257981, -1.3741375)"
"Cobham, Albemarle County, Virginia","Cobham, Surrey, United Kingdom","(38.0629156, -78.268061)","(51.3300079, -0.4120821)"
"Colchester, Connecticut","Colchester, Essex, United Kingdom","(41.5756543, -72.3320269)","(51.8896903, 0.8994651)"
"Coventry, Connecticut","Coventry, West Midlands, United Kingdom","(41.7700987, -72.3050803)","(52.4081812, -1.510477)"
"Crewe, Virginia","Crewe, Cheshire, United Kingdom","(37.1732075, -78.1233329)","(53.0996153, -2.4414627)"
"Croydon, New Hampshire","Croydon, Greater London, United Kingdom","(43.4509369, -72.1621924)","(51.3713049, -0.101957)"
"Danbury, Connecticut","Danbury, Essex, United Kingdom","(41.394817, -73.4540111)","(51.7109, 0.5783784792198463)"
"Danby, Vermont","Danby, North Yorkshire, United Kingdom","(43.3464332, -72.9930107)","(54.4661746, -0.910998)"
"Darlington, Indiana","Darlington, County Durham, United Kingdom","(40.1100401, -86.7719507)","(54.5242081, -1.5555812)"
"Dartmouth, Massachusetts","Dartmouth, Devon, United Kingdom","(41.6332267, -70.9879928)","(50.3514839, -3.583844)"
"Deal, New Jersey","Deal, Kent, United Kingdom","(40.243168, -74.0006927)","(51.2239544, 1.4027344)"
"Dedham, Massachusetts","Dedham, Essex, United Kingdom","(42.2489143, -71.1755732)","(51.9582605, 0.9945379)"
"Deptford Township, New Jersey","Deptford, Greater London, United Kingdom","(39.8271755, -75.1235892)","(51.4758453, -0.0215164)"
"Derby, Connecticut","Derby, Derbyshire, United Kingdom","(41.3223611, -73.0890324)","(52.9212617, -1.4761491)"
"Dorchester, Boston, Massachusetts","Dorchester, Dorset, United Kingdom","(42.2973205, -71.0744952)","(50.7132064, -2.4371229)"
"Dover, Delaware","Dover, Kent, United Kingdom","(39.158168, -75.5243682)","(51.1251275, 1.3134228)"
"Dover, New Jersey","Dover, Kent, United Kingdom","(40.883988, -74.5621025)","(51.1251275, 1.3134228)"
"Dunstable, Massachusetts","Dunstable, Bedfordshire, United Kingdom","(42.674585, -71.4818992)","(51.8861316, -0.5209341)"
"Durham, Connecticut","Durham, County Durham, United Kingdom","(41.4817647, -72.6812059)","(54.7770139, -1.5756205)"
"Durham, North Carolina","Durham, County Durham, United Kingdom","(35.996653, -78.9018053)","(54.7770139, -1.5756205)"
"Duxbury, Massachusetts","Duxbury Hall, Lancashire, United Kingdom","(42.0417695, -70.672259)","(53.6336918, -2.6174101)"
"Ardsley, New York","East Ardsley, West Riding of Yorkshire, United Kingdom","(41.0106531, -73.8437452)",
"Easton, Pennsylvania","Easton Neston, Northamptonshire, United Kingdom","(40.6916081, -75.2099866)","(52.14612445, -0.9621327150775709)"
"Easton, Massachusetts","Easton Neston, Northamptonshire, United Kingdom","(42.0245442, -71.1286594)","(52.14612445, -0.9621327150775709)"
"Raynham, Massachusetts","East Raynham, Norfolk, United Kingdom","(41.9487118, -71.0731008)","(52.7938901, 0.8004065)"
"Edgeley, North Dakota","Edgeley, Greater Manchester (originally Cheshire), United Kingdom","(46.360359, -98.712049)",
"Edgmont Township, Pennsylvania","Edgmond, Shropshire, United Kingdom","(39.95541765, -75.46432736562386)",
"Enfield, Connecticut","Enfield Town, Greater London, United Kingdom","(41.9789387, -72.5755109)","(51.6517156, -0.0786839)"
"Epping, New Hampshire","Epping, Essex, United Kingdom","(43.0394461, -71.0730253)","(51.6982689, 0.1102918)"
"Epsom, New Hampshire","Epsom, Surrey, United Kingdom","(43.223191, -71.332169)","(51.3326098, -0.2678212)"
"Epworth, Iowa","Epworth, Lincolnshire, United Kingdom","(42.4450016, -90.9320766)","(53.5249277, -0.8201895)"
"Eton, Georgia","Eton, Berkshire, United Kingdom","(34.8247425, -84.7632713)","(51.487509349999996, -0.650822226470483)"
"Evesham Township, New Jersey","Evesham, Worcestershire, United Kingdom","(39.851752, -74.89174118371643)","(52.0940158, -1.9483083)"
"Exeter, New Hampshire","Exeter, Devon, United Kingdom","(42.981477, -70.9478343)","(50.7255794, -3.5269497)"
"Falmouth, Massachusetts","Falmouth, Cornwall, United Kingdom","(41.5514979, -70.6147519)","(50.1552197, -5.0688262)"
"Farmington, Connecticut","Farmington, Gloucestershire, United Kingdom","(41.7198216, -72.8320435)","(51.8367051, -1.8052064)"
"Farnham, Virginia","Farnham, Surrey, United Kingdom","(37.8854129, -76.6249557)","(51.2151749, -0.7984854)"
"Foxton, Colorado","Foxhall, Suffolk, United Kingdom","(39.4244333, -105.2361032)","(52.0345744, 1.2379744)"
"Framingham, Massachusetts","Framlingham, Suffolk, United Kingdom","(42.2773177, -71.4165905)","(52.2220579, 1.3415864)"
"Glastonbury, Connecticut","Glastonbury, Somerset, United Kingdom","(41.7123218, -72.608146)","(51.14804, -2.716577)"
"Gloucester, Massachusetts","Gloucester, Gloucestershire, United Kingdom","(42.6159286, -70.6619888)","(51.8653705, -2.2458192)"
"Gravesend, New York","Gravesend, Kent, United Kingdom","(40.5961338, -73.9739426)","(51.4424747, 0.3694468)"
"Great Barrington, Massachusetts","Great Barrington, Gloucestershire, United Kingdom","(42.1939364, -73.362773)","(51.8208543, -1.6998632)"
"Wilbraham, Massachusetts","Great Wilbraham, Cambridgeshire, United Kingdom","(42.1229193, -72.4314583)","(52.194124, 0.2651614)"
"Yarmouth, Massachusetts","Great Yarmouth, Norfolk, United Kingdom","(41.7056656, -70.2286314)","(52.6071742, 1.7314845)"
"Greenwich, Connecticut","Greenwich, Greater London, United Kingdom","(41.0264862, -73.6284598)","(51.46862565, 0.04883057313755089)"
"Groton, Massachusetts","Groton, Suffolk, United Kingdom","(42.6112242, -71.5745402)","(52.0394482, 0.8552061)"
"Guilford, Connecticut","Guildford, Surrey, United Kingdom","(41.2889866, -72.6817616)","(51.2356068, -0.5732063)"
"Haddam, Connecticut","Much Hadham and Little Hadham, Hertfordshire, United Kingdom","(41.4773213, -72.5120333)",
"Hadley, Massachusetts","Hadleigh, Suffolk, United Kingdom","(42.3424147, -72.5892108)","(52.0441822, 0.9542292)"
"Halifax, Massachusetts","Halifax, West Yorkshire, United Kingdom","(41.991213, -70.861985)","(53.7229229, -1.8604874)"
"Hampstead, New Hampshire","Hampstead, Greater London, United Kingdom","(42.8745323, -71.1811714)","(51.55653, -0.1783011)"
"Hampton, New Hampshire","Hampton, London, United Kingdom","(42.9304376, -70.824896)","(51.4150272, -0.3691409)"
"Harpswell, Maine","Harpswell, Lincolnshire, United Kingdom","(43.8075279, -69.9348805)","(53.3991893, -0.5946262)"
"Harrogate, Tennessee","Harrogate, North Yorkshire, United Kingdom","(36.5703375, -83.65142488513513)","(53.9921491, -1.5391039)"
"Harwich Port, Massachusetts","Harwich, Essex, United Kingdom","(41.6667784, -70.0786284)","(51.9445801, 1.2898522)"
"Hastings-on-Hudson, New York","Hastings, East Sussex, United Kingdom","(40.9946622, -73.8785922)","(50.8553888, 0.5824703)"
"Hatfield, Massachusetts","Hatfield, United Kingdom","(42.3732087, -72.596091)","(51.7634675, -0.2258741)"
"Haverhill, Massachusetts","Haverhill, Suffolk, United Kingdom","(42.7777829, -71.0767724)","(52.0832721, 0.4353932)"
"Haworth, New Jersey","Haworth, West Yorkshire, United Kingdom","(40.9609315, -73.9901383)","(53.8312602, -1.9478689)"
"Hempstead, New York","Hemel Hempstead, Hertfordshire, United Kingdom","(40.6736812, -73.6190736)","(51.7511784, -0.472528)"
"Hereford, South Dakota","Hereford, Herefordshire, United Kingdom","(44.3872086, -102.8954511)","(52.0553813, -2.7151735)"
"Hartford, Connecticut","Hertford, Hertfordshire, United Kingdom","(41.764582, -72.6908547)","(51.7957409, -0.078521)"
"Highgate, Vermont","Highgate, Greater London, United Kingdom","(44.9626333, -73.07049380285743)","(51.5706446, -0.1492397)"
"Hillington, Wisconsin","Hillington, Norfolk, United Kingdom","(43.0634757, -89.42679194496961)","(52.7995488, 0.5513341)"
"Hingham, Massachusetts","Hingham, Norfolk, United Kingdom","(42.2417669, -70.8897676)","(52.5796849, 0.9845613)"
"Huntingdon, Pennsylvania","Huntingdon, Cambridgeshire, United Kingdom","(40.3446332, -78.0281185)","(52.3305093, -0.1843514)"
"Ilchester, Maryland","Ilchester, Somerset, United Kingdom","(39.2509398, -76.7646947)","(51.0029053, -2.6823645)"
"Ipswich, Massachusetts","Ipswich, Suffolk, United Kingdom","(42.679273, -70.8411583)","(52.0579324, 1.1528095)"
"Islip, New York","Islip, Northamptonshire, United Kingdom","(40.7300685, -73.2107266)","(52.4026283, -0.5501746)"
"Kennett Square, Pennsylvania","Kennett, Cambridgeshire, United Kingdom","(39.8467414, -75.7116997)","(52.2871378, 0.4875974)"
"Killingworth, Connecticut","Kenilworth, Warwickshire, United Kingdom","(41.3581545, -72.5637023)","(52.3450526, -1.5816028)"
"Kensington, Maryland","Kensington, Greater London, United Kingdom","(39.0258405, -77.0750246)","(51.4989948, -0.1991229)"
"Keswick, California","Keswick, Cumbria, United Kingdom","(40.6223721, -122.4658452)","(54.603967049999994, -3.094638850000003)"
"Kimbolton, Ohio","Kimbolton, Cambridgeshire, United Kingdom","(40.1528489, -81.572065)","(52.30345885, -0.3813986697827069)"
"Lynn, Massachusetts","King's Lynn, Norfolk, United Kingdom","(42.466763, -70.9494939)","(52.7538673, 0.3954774)"
"Hull, Massachusetts","Kingston upon Hull, East Riding of Yorkshire, United Kingdom","(42.3020436, -70.9078243)","(53.7536, -0.4276738)"
"Lancaster, Pennsylvania","Lancaster, Lancashire, United Kingdom","(40.08067, -76.2411283)","(54.0484068, -2.7990345)"
"Langley, South Carolina","Langley, Berkshire, United Kingdom","(33.5179148, -81.8440011)","(51.48500545, -1.292092905558522)"
"Lexington, Massachusetts","Laxton, Nottinghamshire, United Kingdom","(42.4473175, -71.2245003)","(53.1965495, -0.92395)"
"Leamington, Utah","Leamington Spa, Warwickshire, United Kingdom","(39.5346744, -112.283554)","(52.2913394, -1.536404)"
"Leeds, Alabama","Leeds, West Yorkshire, United Kingdom","(33.5439212, -86.5427551)","(53.7974185, -1.5437941)"
"Leominster, Massachusetts","Leominster, Herefordshire, United Kingdom","(42.5267443, -71.7614891)","(52.2273558, -2.7375333)"
"Lewes, Delaware","Lewes, East Sussex, United Kingdom","(38.7733961, -75.1379574)","(50.8746139, 0.005115324110936268)"
"Limington, Maine","Limington, Somerset, United Kingdom","(43.7317442, -70.7108924)","(50.9986279, -2.6555605)"
"Lincoln, Massachusetts","Lincoln, Lincolnshire, United Kingdom","(42.4259283, -71.3039469)","(53.2293545, -0.5404819)"
"Litchfield, Connecticut","Lichfield, Staffordshire, United Kingdom","(41.767249, -73.2543049)","(52.6843696, -1.8275286)"
"Liverpool, New York","Liverpool, Merseyside, United Kingdom","(43.106456, -76.217705)",
"New London, Connecticut","London, United Kingdom","(41.3556187, -72.0997804)","(51.4893335, -0.14405508452768728)"
"London, Kentucky","London, United Kingdom","(37.1289771, -84.0832646)","(51.4893335, -0.14405508452768728)"
"New London, Missouri","London, United Kingdom","(39.5853222, -91.4009835)","(51.4893335, -0.14405508452768728)"
"Longton, Kansas","Longton, Staffordshire, United Kingdom","(37.3778244, -96.0808216)","(52.9645827, -2.1993884)"
"Ludlow, Massachusetts","Ludlow, Shropshire, United Kingdom","(42.1589979, -72.4803259)","(52.3679896, -2.7193114)"
"Lyme, Connecticut","Lyme Regis, Dorset, United Kingdom","(41.391095199999995, -72.35110142568081)","(50.7252897, -2.934559)"
"Maidstone, Vermont","Maidstone, Kent, United Kingdom","(44.645072400000004, -71.6145532591119)","(51.2748258, 0.5231646)"
"Malden, Massachusetts","Maldon, Essex, United Kingdom","(42.4250964, -71.066163)","(51.731198, 0.6791849)"
"Malverne, New York","Malvern, Worcestershire, United Kingdom","(40.6789916, -73.6740191)","(52.1159559, -2.3258985)"
"Malvern Hill, Virginia","Malvern, Worcestershire, United Kingdom","(37.3970918, -77.2402536)","(52.1159559, -2.3258985)"
"Malvern, Pennsylvania","Malvern, Worcestershire, United Kingdom","(40.036202, -75.5138959)","(52.1159559, -2.3258985)"
"North Manchester, Indiana","Manchester, United Kingdom","(41.0006005, -85.768597)","(53.4794892, -2.2451148)"
